"";"title";"Year"
"1";"Everything Everywhere All at Once";"2022"
"2";"All Quiet on the Western Front";"2022"
"3";"The Whale";"2022"
"4";"Top Gun: Maverick";"2022"
"5";"Black Panther: Wakanda Forever";"2022"
"6";"Avatar: The Way of Water";"2022"
"7";"Women Talking";"2022"
"8";"Guillermo del Toro's Pinocchio";"2022"
"9";"Navalny";"2022"
"10";"The Elephant Whisperers";"2022"
"11";"An Irish Goodbye";"2022"
"12";"The Boy, the Mole, the Fox and the Horse";"2022"
"13";"RRR";"2022"
"14";"CODA";"2021"
"15";"Dune";"2021"
"16";"The Eyes of Tammy Faye";"2021"
"17";"No Time to Die";"2021"
"18";"The Windshield Wiper";"2021"
"19";"The Long Goodbye";"2021"
"20";"The Queen of Basketball";"2021"
"21";"Summer of Soul";"2021"
"22";"Drive My Car";"2021"
"23";"Encanto";"2021"
"24";"West Side Story";"2021"
"25";"Belfast";"2021"
"26";"The Power of the Dog";"2021"
"27";"King Richard";"2021"
"28";"Cruella";"2021"
"29";"Nomadland";"2020/21"
"30";"The Father";"2020/21"
"31";"Judas and the Black Messiah";"2020/21"
"32";"Minari";"2020/21"
"33";"Mank";"2020/21"
"34";"Sound of Metal";"2020/21"
"35";"Ma Rainey's Black Bottom";"2020/21"
"36";"Promising Young Woman";"2020/21"
"37";"Tenet";"2020/21"
"38";"Soul";"2020/21"
"39";"Another Round";"2020/21"
"40";"My Octopus Teacher";"2020/21"
"41";"Colette";"2020/21"
"42";"If Anything Happens I Love You";"2020/21"
"43";"Two Distant Strangers";"2020/21"
"44";"Parasite";"2019"
"45";"Ford v Ferrari";"2019"
"46";"Learning to Skateboard in a Warzone (If You're a Girl)";"2019"
"47";"The Neighbors' Window";"2019"
"48";"Little Women";"2019"
"49";"Marriage Story";"2019"
"50";"Jojo Rabbit";"2019"
"51";"Toy Story 4";"2019"
"52";"Joker";"2019"
"53";"Once Upon a Time in Hollywood";"2019"
"54";"1917";"2019"
"55";"Judy";"2019"
"56";"Bombshell";"2019"
"57";"Rocketman";"2019"
"58";"American Factory";"2019"
"59";"Hair Love";"2019"
"60";"Green Book";"2018"
"61";"Bohemian Rhapsody";"2018"
"62";"Roma";"2018"
"63";"Black Panther";"2018"
"64";"The Favourite";"2018"
"65";"A Star Is Born";"2018"
"66";"Vice";"2018"
"67";"BlacKkKlansman";"2018"
"68";"First Man";"2018"
"69";"If Beale Street Could Talk";"2018"
"70";"Bao";"2018"
"71";"Free Solo";"2018"
"72";"Period. End of Sentence.";"2018"
"73";"Skin";"2018"
"74";"Spider-Man: Into the Spider-Verse";"2018"
"75";"The Shape of Water";"2017"
"76";"Dunkirk";"2017"
"77";"Three Billboards Outside Ebbing, Missouri";"2017"
"78";"Darkest Hour";"2017"
"79";"Blade Runner 2049";"2017"
"80";"Coco";"2017"
